::ffff:192.168.115.253 - - [24/Sep/2024:13:57:53 +0000] "GET /collections/points/items?bbox=-165.7710000%2C-84.3333000%2C175.5615230%2C85.7667000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F1.3%2FCRS84 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4326 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F0%2FCRS84h HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4327 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items?limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:54 +0000] "GET /collections/points/items/A%27Mhaighdean HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:55 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F1.3%2FCRS84&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:55 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4326&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:55 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F0%2FCRS84h&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:55 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4327&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:56 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F1.3%2FCRS84 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:56 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4326 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:57 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F0%2FCRS84h HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:57 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4327 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:57 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F1.3%2FCRS84&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:57 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4326&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:58 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F0%2FCRS84h&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:58 +0000] "GET /collections/points/items?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4327&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:58 +0000] "GET /collections/points/items?bbox-crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F1.3%2FCRS84&bbox=-165.7710000%2C-84.3333000%2C175.5615230%2C85.7667000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:58 +0000] "GET /collections/points/items?bbox-crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4326&bbox=-84.3333000%2C-165.7710000%2C85.7667000%2C175.5615230&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:13:57:59 +0000] "GET /collections/points/items?bbox-crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FOGC%2F0%2FCRS84h&bbox=-165.7710000%2C-84.3333000%2C175.5615230%2C85.7667000&limit=10 HTTP/1.1" 200 - "-" "Apache-HttpClient/4.5.13 (Java/1.8.0_212)"
::ffff:192.168.115.253 - - [24/Sep/2024:14:02:10 +0000] "GET /collections/points/items/A%27Mhaighdean?crs=http%3A%2F%2Fwww.opengis.net%2Fdef%2Fcrs%2FEPSG%2F0%2F4327 HTTP/1.1" 200 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36"
